fn,target_name,length,model,status,error,train_size,val_size,test_size,seed,duration_ms,adaptation_duration_ms,test_duration_ms,total_wall_clock_duration_ms,val_acc,val_acc_std,test_acc,test_acc_std,best_params,best_cv_score,num_trials,selection_split,mean_fit_count
fn_n,mushroom,20,random_forest,ok,,256,256,2000,42,20479,20248,228,20479,0.81015625,0.013441133229754104,0.8277000000000001,0.003310589071449373,"{""n_estimators"": 128, ""max_depth"": 16, ""min_samples_leaf"": 1}",0.81015625,5,val,12.0
fn_n,mushroom,20,extra_trees,ok,,256,256,2000,42,16480,16249,228,16480,0.85859375,0.006720566614877052,0.8528,0.005153639490690054,"{""n_estimators"": 128, ""max_depth"": null, ""min_samples_leaf"": 1}",0.85859375,5,val,12.0
fn_n,mushroom,20,adaboost,ok,,256,256,2000,42,12444,12031,411,12444,0.703125,0.0,0.731,0.0,"{""n_estimators"": 200, ""learning_rate"": 1.0}",0.703125,5,val,12.0
fn_n,mushroom,20,gradient_boosting,ok,,256,256,2000,42,8022,7988,31,8022,0.78984375,0.002923169833417142,0.8106,0.0022226110770892696,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 3}",0.78984375,5,val,8.0
fn_n,mushroom,20,hist_gradient_boosting,ok,,256,256,2000,42,11507,11391,114,11507,0.765625,0.0,0.7885,0.0,"{""max_iter"": 200, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.765625,5,val,8.0
fn_n,mushroom,20,logistic_regression,ok,,256,256,2000,42,169,162,4,169,0.75390625,0.0,0.7835,0.0,"{""C"": 10.0}",0.75390625,5,val,3.0
fn_n,mushroom,20,mlp,ok,,256,256,2000,42,2035,2022,10,2035,0.678125,0.025507543308303918,0.7110999999999998,0.03529079200018043,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.0001}",0.678125,5,val,6.0
fn_n,mushroom,20,xgboost,error,xgboost is not installed,256,256,2000,42,0,0,0,0,,,,,{},,5,,0
fn_p,htru2,8,decision_tree,ok,,256,256,2000,42,286,283,1,286,0.93359375,0.0,0.9200000000000002,1.1102230246251565e-16,"{""max_depth"": 3, ""min_samples_leaf"": 20, ""criterion"": ""gini""}",0.93359375,5,val,30.0
fn_p,htru2,8,random_forest,ok,,256,256,2000,42,21232,20969,261,21232,0.94921875,0.0024705294220065464,0.9242999999999999,0.0009273618495495879,"{""n_estimators"": 128, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.94921875,5,val,12.0
fn_p,htru2,8,extra_trees,ok,,256,256,2000,42,15131,14893,237,15131,0.94921875,0.00427908248050911,0.9215,0.002073644135332779,"{""n_estimators"": 128, ""max_depth"": 8, ""min_samples_leaf"": 5}",0.94921875,5,val,12.0
fn_p,htru2,8,adaboost,ok,,256,256,2000,42,9503,9458,42,9503,0.94140625,0.0,0.9295,0.0,"{""n_estimators"": 50, ""learning_rate"": 0.5}",0.94140625,5,val,12.0
fn_p,htru2,8,gradient_boosting,ok,,256,256,2000,42,5420,5408,10,5420,0.96484375,0.0,0.931,0.0,"{""n_estimators"": 200, ""learning_rate"": 0.03, ""max_depth"": 2}",0.96484375,5,val,8.0
fn_p,htru2,8,hist_gradient_boosting,ok,,256,256,2000,42,5360,5330,27,5360,0.94140625,0.0,0.9339999999999999,1.1102230246251565e-16,"{""max_iter"": 100, ""learning_rate"": 0.03, ""max_leaf_nodes"": 15}",0.94140625,5,val,8.0
fn_p,htru2,8,logistic_regression,ok,,256,256,2000,42,87,83,0,87,0.9453125,0.0,0.907,0.0,"{""C"": 0.1}",0.9453125,5,val,3.0
fn_p,htru2,8,mlp,ok,,256,256,2000,42,752,744,5,752,0.91484375,0.010881553341550092,0.8804000000000001,0.005961543424315537,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.0001}",0.91484375,5,val,6.0
fn_p,htru2,8,xgboost,error,xgboost is not installed,256,256,2000,42,0,0,0,0,,,,,{},,5,,0
fn_q,chess,35,decision_tree,ok,,256,256,2000,42,239,236,0,239,0.9609375,0.0,0.9541000000000001,0.008800000000000007,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""criterion"": ""entropy""}",0.9609375,5,val,30.0
fn_q,chess,35,random_forest,ok,,256,256,2000,42,20117,19911,205,20117,0.95390625,0.0029231698334171415,0.9411999999999999,0.002441311123146739,"{""n_estimators"": 128, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.95390625,5,val,12.0
fn_q,chess,35,extra_trees,ok,,256,256,2000,42,17086,16860,223,17086,0.9515625,0.0019136638615493578,0.9418,0.0016000000000000014,"{""n_estimators"": 128, ""max_depth"": 16, ""min_samples_leaf"": 1}",0.9515625,5,val,12.0
fn_q,chess,35,adaboost,ok,,256,256,2000,42,12232,12063,166,12232,0.96484375,0.0,0.9559999999999998,1.1102230246251565e-16,"{""n_estimators"": 100, ""learning_rate"": 1.0}",0.96484375,5,val,12.0
fn_q,chess,35,gradient_boosting,ok,,256,256,2000,42,5813,5785,25,5813,0.96875,0.0,0.9525,0.0,"{""n_estimators"": 200, ""learning_rate"": 0.03, ""max_depth"": 3}",0.96875,5,val,8.0
fn_q,chess,35,hist_gradient_boosting,ok,,256,256,2000,42,6812,6778,31,6812,0.96484375,0.0,0.9615,0.0,"{""max_iter"": 100, ""learning_rate"": 0.03, ""max_leaf_nodes"": 15}",0.96484375,5,val,8.0
fn_q,chess,35,logistic_regression,ok,,256,256,2000,42,136,131,0,136,0.94921875,0.0,0.9275,0.0,"{""C"": 10.0}",0.94921875,5,val,3.0
fn_q,chess,35,mlp,ok,,256,256,2000,42,1859,1847,10,1859,0.83203125,0.029646353064078555,0.8141999999999999,0.01695169608033368,"{""hidden_layer_sizes"": [128], ""alpha"": 0.0001}",0.83203125,5,val,6.0
fn_q,chess,35,xgboost,error,xgboost is not installed,256,256,2000,42,0,0,0,0,,,,,{},,5,,0
